s x_s y_s F_val G_val
3.95 0.809349 0.776812 1.54102 -nan
3.96 0.816615 0.769942 1.54135 -nan
3.97 0.82395 0.763144 1.54181 -nan
3.98 0.831352 0.756421 1.54238 -nan
3.99 0.838821 0.749772 1.54307 -nan
4 0.846356 0.743198 1.54387 -nan
4.01 0.853957 0.736699 1.54479 -nan
4.02 0.861622 0.730277 1.54582 -nan
4.03 0.869351 0.723932 1.54696 -nan
4.04 0.877143 0.717664 1.54821 -nan
4.05 0.884998 0.711475 1.54956 -nan
4.06 0.892913 0.705364 1.55102 -nan
4.07 0.90089 0.699333 1.55257 -nan
4.08 0.908927 0.693382 1.55422 -nan
4.09 0.917022 0.687512 1.55596 -nan
4.1 0.925176 0.681723 1.55779 -nan
4.11 0.933387 0.676016 1.5597 -nan
4.12 0.941655 0.670391 1.56169 -nan
4.13 0.949979 0.664849 1.56376 -nan
4.14 0.958358 0.659391 1.5659 -nan
4.15 0.966791 0.654016 1.5681 -nan
4.16 0.975278 0.648727 1.57036 -nan
4.17 0.983816 0.643522 1.57268 -nan
4.18 0.992407 0.638403 1.57505 -nan
4.19 1.00105 0.63337 1.57746 -nan
4.2 1.00974 0.628424 1.5799 -nan
4.21 1.01848 0.623565 1.58238 -nan
4.22 1.02727 0.618794 1.58488 -nan
4.23 1.0361 0.614111 1.58739 -nan
4.24 1.04499 0.609516 1.58992 -nan
4.25 1.05391 0.605011 1.59245 -nan
4.26 1.06288 0.600595 1.59497 -nan
4.27 1.0719 0.596268 1.59748 -nan
4.28 1.08096 0.592033 1.59998 -nan
4.29 1.09006 0.587888 1.60244 -nan
4.3 1.0992 0.583834 1.60487 -nan
4.31 1.10838 0.579872 1.60725 -nan
4.32 1.1176 0.576002 1.60958 -nan
4.33 1.12686 0.572224 1.61184 -nan
4.34 1.13616 0.568539 1.61404 -nan
4.35 1.14549 0.564947 1.61616 -nan
4.36 1.15486 0.561449 1.61819 -nan
4.37 1.16426 0.558045 1.62013 -nan
4.38 1.1737 0.554734 1.62196 -nan
4.39 1.18317 0.551519 1.62367 -nan
4.4 1.19267 0.548398 1.62527 -nan
4.41 1.2022 0.545372 1.62673 -nan
4.42 1.21176 0.542442 1.62805 -nan
4.43 1.22135 0.539608 1.62922 -nan
4.44 1.23097 0.536869 1.63023 -nan
4.45 1.24061 0.534227 1.63107 -nan
4.46 1.25028 0.531681 1.63174 -nan
4.47 1.25998 0.529233 1.63222 -nan
4.48 1.2697 0.526881 1.63251 -nan
4.49 1.27944 0.524627 1.6326 -nan
4.5 1.2892 0.52247 1.63248 -nan
4.51 1.29899 0.520411 1.63215 -nan
4.52 1.3088 0.51845 1.63158 -nan
4.53 1.31862 0.516587 1.63079 -nan
4.54 1.32846 0.514822 1.62976 -nan
4.55 1.33832 0.513156 1.62848 -nan
4.56 1.3482 0.511589 1.62695 -nan
4.57 1.35809 0.51012 1.62516 -nan
4.58 1.368 0.508751 1.6231 -nan
4.59 1.37792 0.50748 1.62078 -nan
4.6 1.38785 0.506309 1.61818 -nan
4.61 1.39779 0.505237 1.6153 -nan
4.62 1.40774 0.504265 1.61213 -nan
